"","x"
"1108",3.7305
"1109",3.4785
"1110",3.46
"1111",2.9705
"1112",3.3965
"1113",3.574
"1114",3.461
"1115",4.1345
"1116",3.3845
"1117",5.4065
"1118",2.6185
"1119",3.4325
"1120",3.8825
"1121",3.4435
"1122",3.4725
"1123",3.351
"1124",3.4625
"1125",2.316
"1126",3.5375
"1127",3.3745
"1128",2.7115
"1129",3.79
"1130",2.591
"1131",3.51
"1132",3.495
"1133",3.287
"1134",3.0765
"1135",3.868
"1136",4.042
"1137",3.177
"1138",3.5175
"1139",4.074
"1140",3.1165
"1141",3.555
"1142",4.003
"1143",3.485
"1144",4.0925
"1145",3.4835
"1146",3.543
"1147",3.55
"1148",3.735
"1149",3.439
"1150",4.5895
"1151",3.2525
"1152",3.5155
"1153",3.9875
"1154",4.21
"1155",4.5025
"1156",3.4955
"1157",3.611
"1158",3.6165
"1159",3.6165
"1160",3.4245
"1161",4.8845
"1162",3.5135
"1163",3.9475
"1164",2.9405
"1165",2.9935
"1166",3.459
"1167",3.478
"1168",3.408
"1169",3.203
"1170",4.7435
"1171",3.504
"1172",3.258
"1173",3.428
"1174",4.4585
"1175",3.7335
"1176",3.514
"1177",3.4325
"1178",2.628
"1179",3.3495
"1180",2.5525
"1181",2.9695
"1182",3.5065
"1183",3.5115
"1184",3.068
"1185",3.292
"1186",4.016
"1187",3.8325
"1188",3.2955
"1189",3.368
"1190",3.4575
"1191",3.3265
"1192",3.3845
"1193",3.598
"1194",3.4305
"1195",3.4185
"1196",3.817
"1197",3.2895
"1198",3.884
"1199",3.0425
"1200",3.2245
"1201",3.8705
"1202",3.334
"1203",3.546
"1204",3.63
"1205",3.1465
"1206",2.9335
"1207",3.7265
"1208",4.3245
"1209",3.4825
"1210",3.276
"1211",4.704
"1212",2.954
"1213",3.085
"1214",3.823
"1215",3.8805
"1216",3.384
"1217",4.429
"1218",3.871
"1219",3.3565
"1220",3.3575
"1221",5.6155
"1222",3.342
"1223",4.5025
"1224",3.536
"1225",3.3565
"1226",3.312
"1227",3.4975
"1228",3.3745
"1229",3.22
"1230",3.675
"1231",3.5945
"1232",3.5315
"1233",3.5055
"1234",3.214
"1235",3.478
"1236",3.783
"1237",3.4025
"1238",3.325
"1239",6.2675
"1240",3.4635
"1241",4.698
"1242",3.404
"1243",3.3315
"1244",3.2165
"1245",3.3035
"1246",3.459
"1247",3.391
"1248",3.4505
"1249",3.4785
"1250",3.0375
"1251",3.479
"1252",4.169
"1253",3.413
"1254",3.885
"1255",3.718
"1256",3.467
"1257",4.094
"1258",3.4475
"1259",3.859
"1260",3.3405
"1261",3.371
"1262",3.617
"1263",3.45
"1264",3.6875
"1265",3.4005
"1266",3.5415
"1267",3.943
"1268",3.2755
"1269",4.159
"1270",3.2085
"1271",3.2645
"1272",3.1605
"1273",3.4155
"1274",3.2555
"1275",3.4695
"1276",3.2705
"1277",3.3815
"1278",3.4605
"1279",3.549
"1280",3.405
"1281",4.502
"1282",3.308
"1283",3.7055
"1284",3.146
"1285",4.6865
"1286",3.9525
"1287",3.4085
"1288",3.512
"1289",3.4665
"1290",3.5795
"1291",5.3295
"1292",3.9805
"1293",3.6425
"1294",3.8065
"1295",3.076
"1296",3.4475
"1297",3.34
"1298",3.391
"1299",3.4775
"1300",3.0435
"1301",3.185
"1302",3.8445
"1303",3.239
"1304",3.5185
"1305",3.4805
"1306",3.09
"1307",3.478
"1308",3.931
"1309",3.166
"1310",4.261
"1311",3.524
"1312",3.941
"1313",4.5265
"1314",3.439
"1315",3.818
"1316",3.022
"1317",3.439
"1318",3.353
"1319",3.084
"1320",3.649
"1321",3.819
"1322",3.289
"1323",3.4305
"1324",4.3885
"1325",5.5275
"1326",3.3435
"1327",2.9675
"1328",3.492
"1329",4.6625
"1330",3.4235
"1331",3.367
"1332",3.371
"1333",2.941
"1334",2.083
"1335",3.303
"1336",2.7865
"1337",3.2805
"1338",3.9295
"1339",3.3935
"1340",2.5375
"1341",3.0655
"1342",3.2035
"1343",2.979
"1344",3.5815
"1345",2.8105
"1346",3.492
"1347",3.869
"1348",3.3735
"1349",3.679
"1350",3.18
"1351",5.197
"1352",3.439
"1353",3.5455
"1354",3.5385
"1355",3.4495
"1356",4.2595
"1357",3.7015
"1358",2.5465
"1359",3.897
"1360",4.1815
"1361",3.994
"1362",3.5455
"1363",3.4295
"1364",3.4045
"1365",3.396
"1366",3.494
"1367",3.136
"1368",3.402
"1369",3.8285
"1370",3.2655
"1371",3.391
"1372",3.3125
"1373",4.0135
"1374",5.409
"1375",3.633
"1376",3.205
"1377",4.253
"1378",3.5795
"1379",2.9455
"1380",4.0705
"1381",3.198
"1382",3.835
"1383",2.407
"1384",2.86
"1385",3.2405
"1386",3.5635
"1387",2.9985
"1388",3.5965
"1389",3.431
"1390",3.809
"1391",3.5625
"1392",2.5575
"1393",3.834
"1394",3.643
"1395",3.351
"1396",3.892
"1397",3.2445
"1398",3.691
"1399",3.2905
"1400",3.957
"1401",3.247
"1402",2.3345
"1403",3.397
"1404",3.4345
"1405",2.902
"1406",3.5085
"1407",4.134
"1408",3.404
"1409",3.9055
"1410",3.9105
"1411",3.9265
"1412",4.3545
"1413",4.659
"1414",4.9165
"1415",3.346
"1416",3.5495
"1417",3.339
"1418",3.505
"1419",3.9805
"1420",3.2135
"1421",3.9935
"1422",4.764
"1423",3.331
"1424",3.462
"1425",2.3365
"1426",2.776
"1427",3.5095
"1428",2.346
"1429",3.4865
"1430",4.0395
"1431",4.73
"1432",4.493
"1433",3.607
"1434",2.9555
"1435",2.9595
"1436",3.2405
"1437",3.1575
"1438",3.5175
"1439",3.4445
"1440",2.5815
"1441",2.794
"1442",3.337
"1443",3.439
"1444",3.1325
"1445",3.3095
"1446",3.576
"1447",3.479
"1448",3.314
"1449",3.686
"1450",3.255
"1451",3.3305
"1452",3.256
"1453",3.277
"1454",2.8015
"1455",2.431
"1456",3.826
"1457",3.135
"1458",2.7425
"1459",2.5645
"1460",3.6905
"1461",3.5025
"1462",3.2395
"1463",2.8685
"1464",3.731
"1465",3.3785
"1466",3.04
"1467",3.345
"1468",3.2025
"1469",3.427
"1470",3.297
"1471",3.4855
"1472",5.4805
"1473",3.902
"1474",3.4855
"1475",2.9335
"1476",3.317
"1477",3.1935
"1478",3.2425
"1479",3.399
"1480",3.14
"1481",3.3815
"1482",2.8045
"1483",5.3035
"1484",3.4725
"1485",3.5115
"1486",3.885
"1487",3.858
"1488",3.1605
"1489",3.8585
"1490",3.434
"1491",3.4175
"1492",3.8625
"1493",2.385
"1494",3.4915
"1495",6.3935
"1496",4.2575
"1497",2.733
"1498",2.8715
"1499",3.401
"1500",3.4485
"1501",3.78
"1502",3.57
"1503",2.1865
"1504",2.812
"1505",3.4765
"1506",3.53
"1507",3.526
"1508",3.2405
"1509",3.5145
"1510",4.4665
"1511",4.276
"1512",2.481
"1513",3.369
"1514",3.4685
"1515",4.562
"1516",3.445
"1517",3.763
"1518",3.4305
"1519",3.1935
"1520",2.838
"1521",3.356
"1522",2.648
"1523",2.9725
"1524",3.0955
"1525",3.444
"1526",3.3095
"1527",3.51
"1528",3.4045
"1529",3.342
"1530",4.7205
"1531",3.2105
"1532",3.724
"1533",3.397
"1534",2.894
"1535",2.575
"1536",3.931
"1537",3.6665
"1538",3.438
"1539",3.293
"1540",3.3575
"1541",3.4885
"1542",2.834
"1543",3.8625
"1544",3.0915
"1545",2.0385
"1546",2.9175
"1547",3.6355
"1548",3.3415
"1549",3.1855
